torques
charlotte-sim repo hash: 46395edc6d0c8927cf8d5f1aabf662f39d634e6d
charlotte-description repo hash: 58b78b6450979467e648200be8d12d1950012a35
"Units: Nm for rotational, N for prismatic, sec for time"
Time,charlotte_mr_hip_lat_actuator,charlotte_mr_hip_ver_actuator,charlotte_mr_knee_actuator,charlotte_br_hip_lat_actuator,charlotte_br_hip_ver_actuator,charlotte_br_knee_actuator,charlotte_fl_hip_lat_actuator,charlotte_fl_hip_ver_actuator,charlotte_fl_knee_actuator,charlotte_ml_hip_lat_actuator,charlotte_ml_hip_ver_actuator,charlotte_ml_knee_actuator,charlotte_bl_hip_lat_actuator,charlotte_bl_hip_ver_actuator,charlotte_bl_knee_actuator,charlotte_fr_hip_lat_actuator,charlotte_fr_hip_ver_actuator,charlotte_fr_knee_actuator
0.0,-9.418568933831786,26.500161370363088,12.205765577515223,-8.882011404967887,31.326638355841393,13.352083630748748,-8.289655017087629,-21.600438649667893,-10.50889303170819,-10.145051460701675,-43.38824840798907,-41.700796855921,-7.933199168262209,-28.91434299044457,-12.269636149900817,37.23417526411551,38.42716747011037,38.59507912309355
0.0001,-9.76114549735769,26.07821100431385,12.007520510020802,-9.089223556504512,30.463914571859974,13.087840404962627,-7.6959367199541555,-21.789246679268302,-10.357331277099245,-9.550534934848477,-37.12253128050448,-38.478324083579516,-7.150496338318391,-28.238834385106102,-12.01182621323604,36.959530684172904,33.13202426140287,36.0485517887398
0.0003352823341008466,-9.774243346829174,26.07359758323945,12.006400766938249,-9.099846528633408,30.4771042351258,13.091990458175287,-7.68878123939429,-21.769432621739124,-10.35296155416091,-9.728542151533937,-37.20003001495618,-38.51914978988104,-7.141931200632698,-28.253366658131874,-12.016937835431849,37.11449306055563,33.20883620488626,36.06372807102605
0.001,-9.81124938497964,26.060568441704568,12.003237100128413,-9.129860123740107,30.514326937009507,13.103699750728534,-7.668551451455635,-21.713510450056475,-10.340632128362357,-10.231431613611432,-37.418789746993376,-38.63438807803327,-7.11771877292083,-28.2943913498394,-12.031366946462535,37.55228989387065,33.42568659127846,36.106521113469846
0.002,-8.903487640282208,25.440212094513747,11.717016118527027,-8.254558669174019,29.052428469843473,12.527845366676306,-6.644889291166642,-22.244061543456606,-10.381166234495984,-8.611130921436292,-33.69930312038098,-32.8753427136376,-6.12798964188635,-27.428682282555975,-11.698666599948067,33.50625308039586,30.797751922081044,30.7818808515708
0.003,-8.15164395044271,24.851101925756115,11.447454358585956,-7.533134098935827,27.68012871578812,11.979135371973236,-5.8233667667773,-22.667659498081335,-10.403900137942813,-7.367468934243018,-30.472367281703075,-28.09484225433108,-5.343581382788437,-26.56577586023885,-11.369906247159546,29.860508913581807,28.50913445315016,26.366614106717567
0.004,-7.456999394506286,24.29228810444025,11.1942151185127,-6.86610169929578,26.43685475005245,11.481521291769722,-5.082174533603842,-22.96351326341356,-10.399396100877816,-6.365111311780592,-27.669509741069195,-24.124700716920877,-4.634106574354068,-25.735980286615472,-11.052778132359702,26.65245817129202,26.48831114787554,22.697537181341296
0.005,-6.815868812101644,23.758785756282457,10.95472362668829,-6.2500163571512255,25.3064938815497,11.028611350844713,-4.412625962348332,-23.14747625274396,-10.370406584569624,-5.562611340822396,-25.234399558758913,-20.82638300416131,-3.9916967056456074,-24.938510142131143,-10.74724157916296,23.822788222829182,24.700651662954876,19.646418244352173
0.006,-6.224812983674888,23.246318289351436,10.726772941208816,-5.681654529694242,24.27497219464935,10.61482845395038,-3.807211433974237,-23.233408007437735,-10.319449820136061,-4.92558159221449,-23.1185398388732,-18.08533214589123,-3.4095308271339944,-24.172240169246788,-10.453056298372694,21.32165804014377,23.116431474555093,17.107291817184578
0.007,-5.680576301700086,22.75120852101779,10.508468041969087,-5.157958098574023,23.32999691129141,10.235305483915115,-3.2594071418264448,-23.23340406474081,-10.248809572628483,-4.425387146481723,-21.280135371632205,-15.806793662381699,-2.881666513891691,-23.435831605499466,-10.169846321266332,19.106854142126537,21.71011248722841,14.992589958026137
0.008,-5.180054185920064,22.27028883373258,10.29817894892568,-4.676005524368454,22.460827897699854,9.88579286976676,-2.763518034767659,-23.15800766310903,-10.160542851457514,-4.03811662161266,-19.68312083732652,-13.912365742379947,-2.4029005414836475,-22.72782131812914,-9.897146546721306,17.142374855214708,20.459719911042406,13.229939165986972
0.009000000000000001,-4.720278063335848,21.800826462642917,10.09450131124884,-4.232999076251559,21.658076807684317,9.562577632112225,-2.314548807631117,-23.016400989618212,-10.056492256791204,-3.7437628863217896,-18.296331691749014,-12.337150976322986,-1.9686542705867236,-22.046684477481563,-9.634436605618884,15.397330671110169,19.346308689848495,11.759511489488629
0.01,-4.2984101602075055,21.340460921168923,9.89622319206966,-3.8262609840123143,20.91353154505901,9.262412852076276,-1.908097830042225,-22.816575755802,-9.938300792041021,-3.52556397103176,-17.09279918172298,-11.027405783968804,-1.574879397905309,-21.390878349001042,-9.381165424420457,13.84508010667915,18.35351007021031,10.531835848346761
0.011,-3.911743253290074,20.887151257195384,9.702297002421787,-3.4532340324551662,20.22000343013047,8.982456429204351,-1.5402697747715237,-22.565484040996637,-9.807427732309904,-3.369467841866469,-16.049151866695304,-9.938601071740115,-1.217980386006237,-20.758872577365008,-9.136768942535237,12.462542742028216,17.467148120803223,9.505990777743275
0.012,-3.5577024228489362,20.439131347335547,9.51181572772974,-3.1114838701185383,19.571194443092974,8.720218015490442,-1.2076034563152518,-22.269170923068515,-9.665164647043165,-3.263694070851236,-15.14510770302301,-9.03382235305158,-0.8947504886153576,-20.149169789239767,-8.900682776355385,11.229646914320238,16.674916296548517,8.648112817274571
0.013000000000000001,-3.233847079468436,19.994871823968236,9.32399274413813,-2.7987014428606023,18.961582058266494,8.473513086699882,-0.9070120252636041,-21.932890652976315,-9.512651012755935,-3.1983721674718986,-14.363042699784305,-8.282449900325933,-0.6023188227841849,-19.560319250595057,-8.672351145711058,10.12888082914347,15.96610496349517,7.9301658089268505
0.014,-2.9378723248071816,19.553047522706468,9.138144647017821,-2.5127046937153814,18.386319398186487,8.240423210294521,-0.6357331953891541,-21.56120816618191,-9.35088907692423,-3.1652412170378,-13.687624108444309,-7.659069797507797,-0.3381064003281129,-18.990925542706954,-8.451233033491592,9.144923960208462,15.3313718468382,7.328925668544335
0.015,-2.6676092024803286,19.11250956085345,8.953676615342852,-2.2514391306060966,17.841148678499874,8.01926167453358,-0.3912876205871625,-21.158087649583933,-9.180757783845799,-3.157399041166686,-13.10549792451859,-7.142575329347745,-0.09978942048253778,-18.439653672284173,-8.236806298094368,8.264341470421751,14.762548455435168,6.8251429887349175
0.015625,-2.4004633646431732,18.679511734499673,8.771865174287157,-1.9962877366346132,17.302688937473718,7.802309969995144,-0.18270305578810522,-20.75678607009912,-9.0095678138931,-2.8890036401828345,-12.484863469700969,-6.651803889849797,0.10124267565937989,-17.883350392154085,-8.020772492357441,7.232329023564791,14.132760781681638,6.380139594292148
0.016,-2.4210236987682032,18.672261328172063,8.77006991783016,-2.0129771449198124,17.322326156672215,7.80854374624206,-0.17144390044593427,-20.726969752055833,-9.003025672197817,-3.1690917314911826,-12.605022095840178,-6.715425249049009,0.11473154995219328,-17.905231639330896,-8.028570274466054,7.47532865098619,14.252476574323003,6.4028523348030015
0.017,-2.196214530434747,18.23143780324385,8.586871233507036,-1.7955161281978735,16.826557025500502,7.60696092041578,0.02581101168589389,-20.27083887267338,-8.818362718694647,-3.1955363729040562,-12.176038232111836,-6.363031345343437,0.3073576157549109,-17.38645120530125,-7.826047264068141,6.767495495092761,13.79486985487804,6.048802505433205
0.018000000000000002,-1.9914098531418132,17.789287711604363,8.403683513781194,-1.597375522670047,16.350938899600067,7.413358611085435,0.20229698487249312,-19.79228180241741,-8.62735114373909,-3.2327712530052137,-11.809675801088174,-6.073252586855764,0.4798137007732945,-16.882167401571262,-7.628783213679773,6.13168382048908,13.384196352797643,5.7519865191691135
0.019,-1.8049630684974964,17.345158122965024,8.220158157559665,-1.4169929816887992,15.89291272718408,7.226716809107,0.35966226440108146,-19.293538843128736,-8.430495220811352,-3.2775289815389765,-11.498183796959845,-5.835977128508272,0.6336675165020945,-16.391297171657445,-7.436347808201535,5.559811059017465,13.015578566288688,5.503253805739487
0.02,-1.6353479204460026,16.898481149486845,8.035988307468266,-1.2529198267504111,15.450220120756045,7.046133299075807,0.49940204109601627,-18.776548387131566,-8.22823014659848,-3.327128811333625,-11.23478569990563,-5.642776767269766,0.7703459225623243,-15.9128174340239,-7.248334146661323,5.044736103918789,12.684708118747055,5.294990155843157
0.021,-1.4811530655419272,16.448762459171114,7.850903105313116,-1.1038159809153945,15.020866240269472,6.8708090851107695,0.6228745492675428,-18.242985814430764,-8.020930036984199,-3.379385127841707,-11.01355423653922,-5.486621154754745,0.8911491361718067,-15.445762774482755,-7.064358128515027,4.580143564018139,12.387772723863291,5.120853522454589
0.022,-1.341076285150286,15.99557136090026,7.664662769835078,-0.9684445419901184,14.6030874829911,6.7000357247603946,0.7313151066226706,-17.69429745214964,-7.808915117367239,-3.432529606322012,-10.829303021882003,-5.361641313671354,0.9972631569147443,-14.98922292012819,-6.8840576455697695,4.160443501693299,12.12139347979635,4.97555586228684
0.023,-1.2139184862352523,15.538532252635544,7.477054380520646,-0.8456661379281785,14.195323337965467,6.533184312712785,0.8258484297545288,-17.131730242311413,-7.592458175959774,-3.4851449591857544,-10.677492634754222,-5.26293384830605,1.0897707008583102,-14.54234010474497,-6.7070916507668334,3.780684289405611,11.882570875742648,4.854682934109247
0.024,-1.0985776145379902,15.077317253378338,7.287888268527373,-0.734433184716634,13.79619185184779,6.369695892282859,0.9074994952349328,-16.556357678085664,-7.371790346851612,-3.536108536740269,-10.554149067608247,-5.18639875602268,1.1696608806695177,-14.104306404626136,-6.533139156768596,3.4364766513737717,11.668638170753264,4.754545394882284
0.025,-0.994042581620118,14.611639863718478,7.0969949302558515,-0.6337841456575233,13.404468228486964,6.20907310355056,0.9772031657854674,-15.96910249349671,-7.147106286118388,-3.5845443213812875,-10.45579281342085,-5.128604994851663,1.2378378228774782,-13.674361100746827,-6.361898202876535,3.1239272947842376,11.477221031410352,4.672055708072366
0.026000000000000002,-0.8993872864645883,14.141249519984934,6.904222391485704,-0.542837871702457,13.019066148796249,6.050872903165612,1.0358127606422498,-15.370756525755551,-6.9185688001480825,-3.629782082156225,-10.379377118239608,-5.086678989147069,1.295128377528973,-13.251788106481474,-6.193084816412735,2.8395808023261053,11.306202500798527,4.604626344934677
0.027,-0.813764794725294,13.665926928766458,6.709433960077564,-0.46078808052282827,12.639021462806049,5.894700215175046,1.08410771429135,-14.761998121932232,-6.686312987064743,-3.671322645206491,-10.322234152438678,-5.058212101692328,1.342289046146945,-12.835913487375889,-6.026431997319158,2.580368668394736,11.153692523133085,4.550085555675808
0.028,-0.7364017207925699,13.18548007076758,6.512506313827365,-0.3868980299210428,12.26347792582604,5.740202384364885,1.1228004493537127,-14.143407387553175,-6.450449929395029,-3.708808389311811,-10.282028029541562,-5.04118379325289,1.3800122343589698,-12.426103090183432,-5.861688713542669,2.3435645415606214,11.018001374769335,4.5066076419513985
0.029,-0.6665928442806925,12.699740782669334,6.313327877844332,-0.32049542323392793,11.891674713607195,5.587064314545915,1.1525425569875702,-13.515479545994005,-6.211069990479937,-3.7419982080132588,-10.256713757778043,-5.0338977642075875,1.4089319212523428,-12.021760295869967,-5.698618892865759,2.1267448752528484,10.897616451056871,4.472655200955242
