torques
"charlotte-sim repo hash: 285c2e63cd2012460361b0b2d03a480efe92828f WARNING: charlotte-sim git repo was NOT clean, it may have changes not captured as of this hash!"
charlotte-description repo hash: 58b78b6450979467e648200be8d12d1950012a35
"Units: Nm for rotational, N for prismatic, sec for time"
Time,charlotte_mr_hip_lat_actuator,charlotte_mr_hip_ver_actuator,charlotte_mr_knee_actuator,charlotte_br_hip_lat_actuator,charlotte_br_hip_ver_actuator,charlotte_br_knee_actuator,charlotte_fl_hip_lat_actuator,charlotte_fl_hip_ver_actuator,charlotte_fl_knee_actuator,charlotte_ml_hip_lat_actuator,charlotte_ml_hip_ver_actuator,charlotte_ml_knee_actuator,charlotte_bl_hip_lat_actuator,charlotte_bl_hip_ver_actuator,charlotte_bl_knee_actuator,charlotte_fr_hip_lat_actuator,charlotte_fr_hip_ver_actuator,charlotte_fr_knee_actuator
0.0,-48.223227208594444,-75.57308049343142,-71.04595864333348,0.12044770145473997,-64.688698167694,-34.15336368910868,-0.9144206457372924,122.90670552468198,58.26420457337516,-1.8486732671087822,-20.282648589109083,-18.998360296472185,-0.3060391779775762,57.90803860420896,30.59518869613784,45.96243043733335,21.184995861191307,16.442887650682035
0.0001,-48.15174501917452,-72.86218831021282,-68.62807998981378,-0.06756632357853862,-62.79742250285909,-33.18364871084407,-0.9160068144442611,118.86434315014323,56.52603937451095,-1.7097380762528436,-16.423618981354743,-18.15459132241928,0.1625177169067524,56.95734033447916,30.135353255457744,45.446837606083584,17.31077207559292,15.8969659434942
0.00034826377499801116,-48.216126179964775,-72.94151871090669,-68.69578830311012,-0.06469737011890242,-62.80245088408923,-33.189838862250355,-0.8898429156063118,119.01938865490479,56.592392513308845,-1.994304623704936,-16.513494259480527,-18.173645125465356,0.19141407223712287,56.92672888269495,30.122263785444467,45.708198382575404,17.46812946871954,15.869239169799673
0.001,-48.385138886170296,-73.14963345886406,-68.87341118346859,-0.05716547050573768,-62.815593700175384,-33.20606159370209,-0.8211582897010805,119.42613700544229,56.76645929840005,-2.741342492042764,-16.749222828218937,-18.223619346447027,0.2672714039316177,56.846360878349024,30.087898305539827,46.394317373563055,17.880992111427425,15.796421137224536
0.002,-40.251339177159664,-71.84513956117111,-68.0031316619231,-0.08904499070685858,-60.69610227639714,-32.22267784862397,-0.6215485085100391,117.29562758852532,55.79927742636877,-3.3794764648333797,-16.206684863085187,-15.31649811653717,0.3037138856052555,53.49618852076326,28.558244715064724,39.29954410613375,17.57058396572367,13.029503513227219
0.003,-33.45793137512757,-70.76547567226199,-67.2850523605481,-0.10189042504943821,-58.96251053482196,-31.4194354125045,-0.45981598709132027,115.53172812949776,54.997710083739264,-3.9267833671369257,-15.708637576160651,-12.925409529610004,0.33425058982265626,50.75882737053059,27.31093887673446,33.386535941456316,17.25374366501171,10.75274614154798
0.004,-27.78053112374363,-69.87707082888699,-66.69731437806665,-0.10122879226922737,-57.54777117679801,-30.765019717595848,-0.3276553254918564,114.07880788027171,54.33671833613571,-4.395071485199403,-15.2566804052479,-10.958870455978332,0.3607998060198961,48.524328321935315,26.294990256044358,28.45265717450453,16.94232010222135,8.880170007047962
0.005,-23.03463622115562,-69.14918505104994,-66.2191715584573,-0.09107195409006211,-56.39643690768761,-30.23344333633139,-0.2186684654970131,112.8870737082451,53.793886787143144,-4.794510287901208,-14.850116534050812,-9.34162291193172,0.3847596816428088,46.70243666838804,25.46855607432967,24.33150960800224,16.64387005020923,7.340757421949283
0.006,-19.067203342015627,-68.5556432064606,-65.83282010827293,-0.07462727076643659,-55.46203401601722,-29.803210584659105,-0.1278495154788385,111.91331462373539,53.34974441129733,-5.133889107805172,-14.486821443847347,-8.011761098448586,0.4071188941516642,45.21953428517053,24.797553968696334,20.88598359016247,16.362919848445042,6.075888212050072
0.007,-15.75142661262969,-68.07393145271068,-65.52278768088561,-0.05396481304767633,-54.70659070389212,-29.456334287775373,-0.05126448242518182,111.12072997412488,52.987698698768625,-5.4208488390882135,-14.16385520273324,-6.918360378046322,0.42858491400413684,44.01514197816599,24.25401467818549,18.00279894271172,16.10186990748128,5.037199544461935
0.008,-11.041589927315561,-67.61117017697931,-65.28341257301575,-2.1290072798301702,-52.316150555143906,-30.99687915827597,0.008917517495071683,110.45581182136604,52.68439553447577,-5.667740815088144,-13.877885596487998,-6.019511945260182,0.4443531547861281,43.06007032317548,23.82396184070959,15.588082690256194,15.862051366637633,4.1841469103642055
0.009000000000000001,-5.5635879320761115,-67.17932123294199,-65.10175975834788,-5.524462049211132,-48.92607286696068,-33.740630808576284,0.056576941944808924,109.89812678981211,52.430005721435535,-5.877478290681818,-13.62519679729093,-5.280649234104643,0.45436486604597803,42.30500110183899,23.484943093566006,13.563624453433917,15.64326464536299,3.4841491818356927
0.01,-4.365582219686764,-66.79967348975707,-64.80998109350492,-5.24658723434162,-48.96802532227663,-33.42955305935575,0.04362170551159897,109.06728160586559,52.060470156766904,-6.107804995978591,-13.402417359196535,-4.673239195960073,1.197860722357231,41.37648301699459,24.056367365607784,11.858447138543484,15.44826224855349,2.904485765434502
