energy
"charlotte-sim repo hash: 285c2e63cd2012460361b0b2d03a480efe92828f WARNING: charlotte-sim git repo was NOT clean, it may have changes not captured as of this hash!"
charlotte-description repo hash: 58b78b6450979467e648200be8d12d1950012a35
"Units: J, s"
Time,charlotte_mr_hip_lat_actuator,charlotte_mr_hip_ver_actuator,charlotte_mr_knee_actuator,charlotte_br_hip_lat_actuator,charlotte_br_hip_ver_actuator,charlotte_br_knee_actuator,charlotte_fl_hip_lat_actuator,charlotte_fl_hip_ver_actuator,charlotte_fl_knee_actuator,charlotte_ml_hip_lat_actuator,charlotte_ml_hip_ver_actuator,charlotte_ml_knee_actuator,charlotte_bl_hip_lat_actuator,charlotte_bl_hip_ver_actuator,charlotte_bl_knee_actuator,charlotte_fr_hip_lat_actuator,charlotte_fr_hip_ver_actuator,charlotte_fr_knee_actuator
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00034826377499801116,7.092126213971097e-05,0.0006574911196772578,0.0007452423047621784,1.4088870111072618e-08,0.0004885758011118102,0.0003152001520711363,9.22211874439008e-08,0.00177415711705217,0.0007663523325363694,2.4293098973860225e-06,0.0002531076947300402,0.0002706797292016433,3.1866380391831866e-07,0.0006657794405186144,0.0003391191190803789,9.380842560308413e-05,0.000208434438218711,0.00020429585308555457
0.001,0.000257309535837552,0.002385087394536064,0.002703243358442034,4.9765920973008966e-08,0.0017712590914978955,0.0011427848099407308,3.28555569979655e-07,0.006436695305702964,0.002780130428442433,9.691210938207701e-06,0.0009205901432231219,0.0009818832716153186,1.2791641910519443e-06,0.0024127851902443656,0.0012290444202668876,0.00034125229954585395,0.0007597565571469205,0.000739829012862849
0.002,0.0005443631785697962,0.0050438923554380465,0.0057157907665016635,9.777974584750192e-08,0.003739799110922624,0.00241326031285062,6.61556565677352e-07,0.013616729505655425,0.005880106766173385,2.538050052084165e-05,0.0019603134822059015,0.002076319691774525,3.3900812207999447e-06,0.005089302099506732,0.002592856354169804,0.0007269878025113071,0.0016269805699528107,0.0015575227212521895
0.003,0.0007326521235645818,0.007700425518320036,0.008732668194124594,1.1465643088242328e-07,0.005708925730808933,0.0036561554740967748,1.7819440849281534e-06,0.020346320330413427,0.00880265446780054,5.246951286441495e-05,0.0035001327361594715,0.004301782079050881,5.0959188838911725e-06,0.007506580018762963,0.003818211651816612,0.0037943780302091127,0.0031029927645632215,0.0033521123121969913
0.004,0.0008521851585544196,0.010338061040927223,0.011740285107714122,1.6343398043030686e-07,0.007671890694841358,0.004875220808913181,3.4588815121255242e-06,0.02667764752443178,0.011564736859421929,9.912615710009235e-05,0.005436749055518266,0.007092382967726206,6.354093864563263e-06,0.009727286091841052,0.004937480850882914,0.008372956918752218,0.005076454661659619,0.005592609348654477
0.005,0.0009243149722115047,0.012964135570424366,0.014746945125618175,2.766435707385774e-07,0.009640768904929046,0.006082484026478725,5.150110687073544e-06,0.032690482398099345,0.014197797426146186,0.00017423771657225595,0.007688409189342658,0.010099107097694019,7.180623216958294e-06,0.011808802287785575,0.005981037987583325,0.013704146422257946,0.007455907097748404,0.007957278691809599
0.006,0.0009648537811376796,0.015585145284702279,0.017759365609597837,4.3146567495856147e-07,0.01162426845721682,0.007286947655603046,6.546264212804253e-06,0.038449663425500116,0.016727277416899274,0.00028661958101426665,0.010190795322682689,0.013114254889023687,7.61923904792605e-06,0.01379265840733866,0.00697129273435438,0.01930601931273021,0.010166998522139871,0.010259877597890724
0.007,0.0009852289795754875,0.018206612640736516,0.020782804889036065,5.960877991015003e-07,0.013628491132952617,0.008495291886427194,7.486216081273315e-06,0.04400768469786226,0.019173653005256,0.00044452646543916886,0.01289350926367054,0.016021098261898094,7.726160548574467e-06,0.0157091495385099,0.007924898276736491,0.024881481935301503,0.013149772574804083,0.012400606651288611
