foot_contact_forces
"charlotte-sim repo hash: 285c2e63cd2012460361b0b2d03a480efe92828f WARNING: charlotte-sim git repo was NOT clean, it may have changes not captured as of this hash!"
charlotte-description repo hash: 58b78b6450979467e648200be8d12d1950012a35
Units: N
Time,MR_Fx,MR_Fy,MR_Fz,BR_Fx,BR_Fy,BR_Fz,FL_Fx,FL_Fy,FL_Fz,ML_Fx,ML_Fy,ML_Fz,BL_Fx,BL_Fy,BL_Fz,FR_Fx,FR_Fy,FR_Fz
0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0001,1.829183293860286,-154.7034100894185,-458.9711372977808,-1.8832876497191018,-1.7067665395596023,-339.91033165435755,-4.243955938489691,2.4182086441368305,-542.3011052354636,22.953247344334663,-3.6061972840700944,1.3796519949139913e-13,5.674074156672029,-6.877629118855975,-313.66308750105117,-76.44831609899289,80.08263925903546,0.0
0.00034826377499801116,1.829183293860286,-154.7034100894185,-458.9711372977808,-1.8832876497191018,-1.7067665395596023,-339.91033165435755,-4.243955938489691,2.4182086441368305,-542.3011052354636,22.953247344334663,-3.6061972840700944,1.3796519949139913e-13,5.674074156672029,-6.877629118855975,-313.66308750105117,-76.44831609899289,80.08263925903546,0.0
0.001,1.829183293860286,-154.7034100894185,-458.9711372977808,-1.8832876497191018,-1.7067665395596023,-339.91033165435755,-4.243955938489691,2.4182086441368305,-542.3011052354636,22.953247344334663,-3.6061972840700944,1.3796519949139913e-13,5.674074156672029,-6.877629118855975,-313.66308750105117,-76.44831609899289,80.08263925903546,0.0
0.002,12.171623789022085,-145.64730723471567,-389.88873011036173,5.109377387819076,-3.7035723172180446,-273.7069857289605,-8.420198335855936,7.227552360253548,-474.5711449090426,0.0,0.0,0.0,-4.980402397643814,-2.5402881738805885,-251.34364679343906,0.0,0.0,-0.0
0.003,12.093359002383218,-120.99631134290127,-384.04094131381345,5.108123380117604,-3.4867960844695065,-265.4324493575089,-8.432296825343942,6.944294768747294,-466.27170031681356,0.0,0.0,0.0,-4.7240141147524275,-2.542429752682733,-238.6173390902042,0.0,0.0,0.0
0.004,11.960773526405903,-100.38086871781536,-379.54283048967085,5.066500954481487,-3.2862347814730963,-259.0424070748612,-8.416348496099108,6.659673992499894,-459.7927244382587,0.0,0.0,0.0,-4.46015179785651,-2.55995122986616,-228.53841657571806,0.0,0.0,0.0
0.005,11.85150638693162,-83.18053461506152,-375.85246515984613,5.035353844930051,-3.119504060422399,-253.83565482492966,-8.414539248990419,6.4054434349249,-454.4567838209399,0.0,0.0,0.0,-4.234433092852465,-2.5938243602983455,-220.32115025559162,0.0,0.0,0.0
0.006,11.762463617347967,-68.83062391853628,-372.8383618834253,5.013497600646451,-2.980212163948583,-249.60278657308615,-8.424190125327751,6.1781967139887355,-450.0779260908099,0.0,0.0,0.0,-4.040923866627115,-2.6398638407392077,-213.62775985183794,0.0,0.0,0.0
0.007,11.690378422577538,-56.857524315059315,-370.39040422312166,4.999330663321543,-2.8639750293773174,-246.17218864558947,-8.442929374795419,5.974300938167265,-446.4980324384552,0.0,0.0,0.0,-3.8741980076502274,-2.695063383439025,-208.18538370080427,0.0,0.0,0.0
0.008,11.632410902408779,-46.869766919462286,-368.4134722398128,4.991494838490758,-2.7661714439072855,-243.40259245041443,-8.468782181223471,5.79059668888034,-443.5824250637841,0.0,0.0,0.0,-3.7297544821735613,-2.7570467666490397,-203.7700101866538,0.0,0.0,0.0
0.009000000000000001,11.586498177872395,-32.65655070118847,-366.66438826469096,5.137132806146464,-9.103161028107634,-241.34238481171602,-8.489232762182064,5.635680809945594,-441.14041930225335,0.0,0.0,0.0,-3.627677897977272,-2.787224928399136,-200.2716924870761,0.0,0.0,0.0
0.01,11.550823477700149,-16.100960024799377,-365.13881413682293,5.374806436205635,-19.509098064515054,-239.84201505786714,-8.50610797513237,5.503625904766627,-439.09335329543484,0.0,0.0,0.0,-3.555818476948938,-2.798096582939803,-197.50950341305585,0.0,0.0,0.0
0.011,11.498382611335018,-12.558145008883454,-363.46375952117995,5.338135774863431,-18.725407075320504,-239.16306160741613,-8.448811370719712,5.456925246858967,-436.07495169112866,0.0,0.0,0.0,-3.5976331031792146,-5.208468388885062,-196.62249322866006,0.0,0.0,0.0
0.012,11.454985494028255,-10.63903005356566,-362.08000089888736,5.293075734058665,-17.11343015477389,-238.6932805642737,-8.396494916710223,5.427408077274137,-433.50285505159223,0.0,0.0,0.0,-3.6419041402501704,-7.446367107739276,-196.0778324365853,0.0,0.0,0.0
0.013000000000000001,11.420712967945695,-9.035465900223963,-360.9829944517108,5.256926909206887,-15.763988312138196,-238.3406929949112,-8.35466934277756,5.403865956668126,-431.4400092488139,0.0,0.0,0.0,-3.6798599532990157,-9.302158894875356,-195.67153485684764,0.0,0.0,0.0
0.014,11.39385461552226,-7.693079142745127,-360.1211428881636,5.227424463794436,-14.635869468505314,-238.08265465603998,-8.321339280874357,5.385256291573228,-429.7947647595798,0.0,0.0,0.0,-3.7125325008204375,-10.838301503763837,-195.37443978423747,0.0,0.0,0.0
0.015,11.373067727075275,-6.569176091356631,-359.4513007414494,5.203454359100927,-13.692669337978089,-237.9007416014147,-8.29493844842337,5.370814939550693,-428.4905493078854,0.0,0.0,0.0,-3.740614378013907,-12.106947248197212,-195.1638495164195,0.0,0.0,0.0
0.015625,11.357235646268173,-5.628037522774956,-358.9377162307117,5.1840805622908945,-12.903924055626064,-237.77967351033138,-8.274176836756558,5.359759365397849,-427.4642843586068,0.0,0.0,0.0,-3.7647042763186036,-13.151469917835358,-195.02132627991827,0.0,0.0,0.0
0.016,11.357235646268173,-5.628037522774956,-358.9377162307117,5.1840805622908945,-12.903924055626064,-237.77967351033138,-8.274176836756558,5.359759365397849,-427.4642843586068,0.0,0.0,0.0,-3.7647042763186036,-13.151469917835358,-195.02132627991827,0.0,0.0,0.0
0.017,11.34543091772388,-4.839671282905127,-358.55081944845875,5.168520301148631,-12.244226737037836,-237.7068131934262,-8.258022109563097,5.352764984085398,-426.6640722212944,0.0,0.0,0.0,-3.785349167744714,-14.009404587376698,-194.93190508542693,0.0,0.0,0.0
0.018000000000000002,11.336885451349017,-4.179161401197862,-358.26619880048,5.156104868189466,-11.69212184515614,-237.67173218170012,-8.245555088342844,5.346904354122077,-426.0472456788689,0.0,0.0,0.0,-3.8029530679405004,-14.70863903428137,-194.8834842301011,0.0,0.0,0.0
