energy
"charlotte-sim repo hash: 46395edc6d0c8927cf8d5f1aabf662f39d634e6d WARNING: charlotte-sim git repo was NOT clean, it may have changes not captured as of this hash!"
charlotte-description repo hash: 58b78b6450979467e648200be8d12d1950012a35
"Units: J, s"
Time,charlotte_mr_hip_lat_actuator,charlotte_mr_hip_ver_actuator,charlotte_mr_knee_actuator,charlotte_br_hip_lat_actuator,charlotte_br_hip_ver_actuator,charlotte_br_knee_actuator,charlotte_fl_hip_lat_actuator,charlotte_fl_hip_ver_actuator,charlotte_fl_knee_actuator,charlotte_ml_hip_lat_actuator,charlotte_ml_hip_ver_actuator,charlotte_ml_knee_actuator,charlotte_bl_hip_lat_actuator,charlotte_bl_hip_ver_actuator,charlotte_bl_knee_actuator,charlotte_fr_hip_lat_actuator,charlotte_fr_hip_ver_actuator,charlotte_fr_knee_actuator
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0003352823341008466,2.2966192913745352e-05,0.0008578919795722876,0.00022403063131494445,1.4817925498028288e-05,0.0009179375154939731,0.00022380846485413864,1.5162058793564133e-05,0.0008556396991295104,0.0002084820673753399,2.594123722329458e-05,0.001975332219603041,0.0011104036266503293,1.9594143822119317e-05,0.000950917723788482,0.00021623106493282384,8.785950128473147e-05,0.0015658031993671107,0.0009102172704326037
0.001,8.792264034975688e-05,0.0032812438551849277,0.0008569108956731609,5.6722176699854784e-05,0.003512222523180621,0.0008562773338114645,5.796458980829404e-05,0.003271153915269797,0.0007972767642147234,0.00010036852939899984,0.00756573290768126,0.004250280323128897,7.489609620475133e-05,0.0036385945733237116,0.0008273418837654798,0.0003369466950626042,0.005998043619551842,0.0034826575978744497
0.002,0.00018603488621929287,0.0069250006100096415,0.0018087490960952226,0.00011998308533052381,0.0074201085209863035,0.0018086636158967584,0.00012217725621248193,0.006895164294756348,0.0016819412761516306,0.00021848489449180535,0.016028316713781188,0.008988873681822001,0.00015779362946135125,0.007688148735495204,0.0017478650014698264,0.0007163572346247675,0.012712026388088292,0.007357495823347087
0.003,0.00028904691633348673,0.013511183689156147,0.0035159942977805933,0.0001655970205908809,0.015038741051274928,0.0036259031075845808,0.0001939586068046923,0.012821793959882224,0.003106066865422768,0.0005538865248921427,0.029211521376010748,0.01861104354696519,0.00025602767477577874,0.014988806400250262,0.0034161300557430437,0.0041952639039630445,0.023531315266474038,0.01565380611825025
0.004,0.00032793301913073354,0.022850933048981413,0.005888002462992896,0.0003227943860850752,0.02587359445418608,0.006160653682146409,0.0003492229080442052,0.021111373296061428,0.005067090486573859,0.0010017346108139257,0.04567152865220468,0.03092533117986812,0.0004264035150208399,0.025271117256359867,0.005735393766940978,0.009844447523949505,0.03747959725572449,0.02644440484774043
0.005,0.0004787246310076353,0.03473666577272651,0.008875009200693628,0.0005656945678424649,0.039473849717538374,0.009318758515396557,0.0005572805038847276,0.031802277367602355,0.0075626403022081585,0.0015100336467207165,0.06436120309167137,0.044522407972867745,0.0006400304443993242,0.03823991849758884,0.008645060208216544,0.01690593656642827,0.05381126187334177,0.03846956399914137
0.006,0.0007156510698721449,0.04898057100049165,0.012432101050884709,0.0008720795285299689,0.05546384149529002,0.013020888797023858,0.0007943398506404635,0.044896918169643196,0.010585151640591964,0.0020477647988079964,0.08452204579795913,0.05851702618178613,0.0008746234779949849,0.053626061348998444,0.012089681713380552,0.024823562147443128,0.07195597663763001,0.05093164765441651
0.007,0.0010168434915339294,0.0654108301178376,0.016518279174094555,0.0012231522391907494,0.0735286126749203,0.017199784117240376,0.0010422170213890685,0.06036698156206887,0.014122540994563875,0.002597695539399838,0.10561063626218771,0.07237321696953011,0.0011132729579274537,0.07118419916928784,0.016018520279899088,0.03319166752825517,0.09147781641054598,0.06334173514114537
